Cidade,N_Contrato,Ano,Medida,Quantidade,Produto,Valor_Unitario,Valor_total
Anápolis,041,2020,KG,125435,Banana Prata, R$: 1.49 ,R$: 186.302.15
Anápolis,041,2020,KG,41812,Banana Prata, R$: 1.49 ,R$: 61.852.88
Anápolis,041,2020,KG,152690,Laranja Pêra, R$: 1.49 ,R$: 226.763.10
Anápolis,041,2020,KG,50896,Laranja Pêra, R$: 1.49 ,R$: 75.090.04
Anápolis,041,2020,KG,114518,Maçã Nacional Vermelha, R$: 3.71 ,R$: 423.006.78
Anápolis,041,2020,KG,38172,Maçã Nacional Vermelha, R$: 3.71 ,R$: 139.763.12
Anápolis,041,2020,KG,24855,Mamão Formosa, R$: 2.09 ,R$: 50.901.95
Anápolis,041,2020,KG,55749,Mexerica pokã, R$: 1.85 ,R$: 102.210.65
Anápolis,041,2020,KG,18583,Mexerica pokã, R$: 1.85 ,R$: 33.823.55
Anápolis,041,2020,KG,8286,Abobora kabutiá, R$: 1.49 ,R$: 12.048.14
Anápolis,041,2020,KG,18644,Abobrinha Verde, R$: 1.43 ,R$: 26.475.02
Anápolis,041,2020,KG,6214,Abobrinha Verde, R$: 1.43 ,R$: 8.886.02
Anápolis,041,2020,KG,22159,Batata Doce, R$: 1.33 ,R$: 28.806.47
Anápolis,041,2020,KG,41812,Tomate, R$: 1.79 ,R$: 74.306.48
Anápolis,042,2020,KG,41478,Batata Inglesa, R$: 1.60 ,R$: 63.964.80
Anápolis,042,2020,KG,13825,Batata Inglesa, R$: 1.60 ,R$: 22.120.00
Anápolis,043,2020,KG,74567,Mamão Formosa, R$: 2.14 ,R$: 158.503.38
Anápolis,044,2020,KG,33140,Melância, R$: 1.33 ,R$: 43.411.20
Anápolis,045,2020,KG,99422,Melância, R$: 1.29 ,R$: 127.699.68
Anápolis,045,2020,KG,24858,Abobora kabutiá, R$: 1.44 ,R$: 35.075.52
Anápolis,045,2020,KG,5575,Alho, R$: 13.90 ,R$: 76.450.00
Anápolis,045,2020,KG,1858,Alho, R$: 13.90 ,R$: 25.020.00
Anápolis,045,2020,KG,29330,Cebola, R$: 1.53 ,R$: 43.956.90
Anápolis,045,2020,KG,28925,Repolho, R$: 1.45 ,R$: 41.361.25
Anápolis,045,2020,KG,9641,Repolho, R$: 1.45 ,R$: 13.979.45
Anápolis,045,2020,KG,13937,Tomate,R$: 1.79,R$: 24.052.23
Anápolis,046,2020,KG,16619,Beterraba,R$: 1.35,R$: 22.030.65
Anápolis,046,2020,KG,9777,Cebola, R$: 1.65,R$: 16.132.05
Anápolis,046,2020,KG,27416,Chuchu,R$: 1.64,R$: 44.306.24
Anápolis,046,2020,KG,9139,Chuchu,R$: 1.64,R$: 14.987.96
Anápolis,046,2020,KG,35368,Cenoura,R$: 0.99,R$: 34.420.32
Anápolis,046,2020,KG,11789,Cenoura,R$: 0.99,R$: 11.671.11
Anápolis,047,2020,KG,,Carnes e Frios,R$: ,R$: 4.526.434.82
Anápolis,157,2020,KG,1930,Alface,R$: ,R$: 
Anápolis,157,2020,KG,1286,Couve folha,R$: ,R$: 
Anápolis,157,2020,KG,469,Espinafre,R$: ,R$: 
Anápolis,158,2020,KG,1930,Alface,R$: ,R$: 
Anápolis,158,2020,KG,1286,Couve folha,R$: ,R$: 
Anápolis,158,2020,KG,469,Espinafre,R$: ,R$:
Rio Verde,109,2020,KG,1200,Batata Palha Trad,R$: 11.88,R$: 14.256.00
Rio Verde,109,2020,KG,3000,Leite de Soja,R$: 5.92,R$: 17.760.00
Rio Verde,109,2020,KG,1700,Linguiça de frango,R$: 9.99,R$: 16.983.00
Rio Verde,110,2020,KG,6000,Cafe,R$: 6.00,R$: 36.000.00
Rio Verde,13,2020,UNI,150,Leite Condensado Zero Lactose,R$: 5.12,R$: 768.00
Rio Verde,13,2020,KG,3254,Polpa Acerola,R$: 5.43,R$: 17.669.22
Rio Verde,13,2020,KG,5426,Polpa Maracujá,R$: 10.85,R$: 58.872.10
Rio Verde,14,2020,UNI,110,Requeijão zero Lactose,R$: 7.95,R$: 874.50 
Rio Verde,15,2020,UNI,10850,Suco Abacaxi,R$: 4.09,R$: 44.376.50
Rio Verde,15,2020,UNI,18000,Suco Caju,R$: 2.36,R$: 42.480.00
Rio Verde,17,2020,KG,2000,Polpa Acerola,R$: 7.10,R$:  14.200.00
Rio Verde,17,2020,KG,1000,Bolo Simples,R$: 10.39,R$:  10.390.00
Rio Verde,17,2020,KG,4500,Broa de Milho Salgada,R$: 13.29, R$: 59.805.00
Rio Verde,17,2020,KG,4500,Broa de Milho Doce,R$: 13.29,R$:  59.805.00
Rio Verde,17,2020,KG,3800,Pão de Cenoura,R$: 15.20,R$: 57.760.00 
Rio Verde,17,2020,KG,1000,Bolo de Fubá,R$: 12.40,R$: 12.400.00
Rio Verde,17,2020,KG,1400,Carne suína,R$: 10.60,R$: 148.400.00
